Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cote d'Ivoire,Djibouti,"Egypt, Arab Rep.",Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
1960,11057864,5454938,2431617,502733,4829289,2797925,201770,5176920,1501668,3001604,191122,15248256,1018254,3503559,83634,26632891,255338,1007586,336578,22151284,500922,365049,6635229,3494164,616140,8120082,837264,1118655,1448416,5099368,3659980,5263727,850377,659351,12328532,7184870,634138,3388774,45138460,2935575,64294,3206757,41700,2317638,2755967,17099836,2842718,7544498,10052151,1580508,4178235,6767092,3070780,3776679
1961,11336336,5531451,2465865,512688,4894580,2852438,205321,5285015,1526057,3060365,194149,15637700,1043119,3631547,88503,27366239,258786,1033320,343346,22671193,505793,372436,6848291,3552068,622754,8377693,852892,1142304,1498076,5223561,3747758,5322269,875586,680757,12710587,7342117,649274,3486322,46063570,2998334,64597,3295280,42889,2352370,2814125,17524533,2895609,7769475,10346695,1597523,4238141,6983824,3164330,3905038
1962,11619828,5608499,2502897,523777,4960328,2907320,210141,5398730,1551908,3121226,197202,16041187,1069236,3770756,94203,28112258,262219,1060489,350155,23221385,511285,379886,7071966,3611428,628877,8647002,869132,1166651,1550815,5352497,3839047,5381367,901690,700349,13094890,7507309,665119,3588228,47029818,3052937,64478,3386803,44042,2388759,2874215,17965733,2951041,8004122,10651954,1612761,4305477,7215799,3260645,4039209
1963,11912800,5679409,2542864,535692,5027811,2964416,216087,5518104,1579375,3183576,200371,16461828,1096638,3918630,100618,28871383,266005,1088859,357279,23798418,517573,387635,7300124,3672560,635008,8928510,886061,1191796,1607168,5486319,3933914,5441618,928742,718861,13478425,7679465,681633,3693985,48032932,3105417,64237,3481654,45176,2426864,2936478,18423157,3009061,8248818,10968196,1631758,4380074,7461636,3360099,4178726
1964,12221675,5734995,2585961,547870,5098891,3026292,222949,5643039,1608618,3246527,203762,16903830,1125354,4071411,107582,29644875,270616,1118152,365120,24397010,524891,396012,7524470,3735912,641821,9222692,903757,1217905,1667822,5625164,4032364,5503750,956794,736381,13857656,7857107,698797,3802802,49066762,3164258,64278,3580241,46322,2466671,3001160,18896303,3069735,8503989,11295675,1662073,4461111,7719108,3463211,4322854
1965,12550880,5770573,2632361,559996,5174874,3094378,230421,5773538,1639706,3309583,207429,17369882,1155389,4226843,114976,30433024,276296,1148188,373925,25013634,533357,405258,7739463,3801711,649795,9530163,922307,1245104,1733307,5769215,4134464,5568495,985907,753000,14230163,8039217,716588,3914118,50127920,3235536,64884,3682879,47500,2508226,3068465,19384838,3133155,8770094,11634837,1708631,4547941,7986062,3570466,4471178
1966,12902626,5781305,2682159,571957,5256360,3170496,238655,5909874,1673019,3372182,211477,17862052,1186782,4383723,122876,31237597,283506,1178875,383820,25641040,543119,415478,7941418,3870204,658998,9851453,941798,1273458,1803689,5918592,4240430,5635864,1016093,768813,14595351,8225919,734866,4027969,51217969,3321674,66172,3789381,48699,2551580,3143654,19888259,3199348,9047803,11985442,1774020,4640995,8263434,3681953,4623340
1967,13275020,5774440,2735308,584098,5343025,3253215,247522,6052419,1708306,3434817,215900,18378620,1219547,4544168,131405,32056506,291786,1210304,394760,26280135,554054,426622,8132803,3941046,669243,10187487,962279,1303032,1878869,6073529,4350456,5706192,1047345,783917,14954037,8417698,753683,4144588,52342231,3420897,68039,3899648,49911,2596798,3227835,20406863,3268392,9337662,12348188,1855450,4740526,8550444,3797877,4779825
1968,13663581,5771973,2791588,596946,5434046,3336930,256169,6201410,1744198,3499370,220574,18913874,1253761,4713134,140462,32881852,299416,1242633,406508,26944386,565763,438590,8321773,4013050,680431,10539909,983683,1333980,1958909,6234468,4464427,5780836,1079580,798413,15307267,8614445,773428,4263925,53506201,3529839,70258,4014107,51134,2644011,3312735,20942147,3340426,9639846,12725519,1945777,4845220,8841156,3918872,4941901
1969,14061724,5803677,2850657,611297,5528172,3413909,263461,6357096,1778870,3568402,225324,19459818,1289519,4897470,149889,33703127,304000,1276122,418739,27652715,577644,451228,8520018,4084601,692407,10910677,1005911,1366500,2043820,6401920,4582197,5861417,1112749,812405,15656846,8816056,794588,4385925,54717035,3643237,72501,4133324,52365,2693344,3386736,21496075,3415572,9954411,13120587,2034902,4953379,9127855,4045740,5111326
1970,14464992,5890360,2912338,627714,5624592,3479070,268633,6519754,1811157,3643608,230055,20011033,1326894,5102070,159662,34513851,303986,1310947,431251,28415080,589317,464404,8735493,4154606,704937,11301394,1028930,1400730,2133527,6576305,4703783,5949042,1146776,826000,16004732,9022747,817474,4510645,55982142,3757351,74570,4257508,53600,2744890,3444569,22069783,3494011,10281695,13535487,2115522,5063805,9405606,4179062,5289312
1971,14872253,6041239,2976575,646350,5723378,3530000,271315,6689659,1840517,3726189,234645,20564062,1365891,5328735,169372,35311905,298852,1347180,443979,29248650,600608,478106,8973247,4223056,718359,11713046,1052619,1436740,2228142,6757853,4829092,6044524,1181659,839230,16350883,9232655,842353,4637984,57296988,3871428,76344,4387532,54695,2798727,3472357,22665265,3575896,10621471,13971698,2185667,5176290,9671856,4319226,5476978
1972,15285992,6248965,3043563,667096,5825174,3569655,271841,6867170,1867786,3815253,239229,21121360,1406510,5576026,179237,36102670,289508,1384789,457039,30140799,611705,492424,9229640,4290544,732516,12146070,1077102,1474567,2327487,6946619,4958556,6147464,1217443,852053,16696890,9446235,868954,4768225,58665813,3987223,77930,4522886,56029,2854866,3479792,23281517,3661442,10974626,14428340,2247578,5291335,9929644,4466170,5673914
1973,15709831,6497283,3113681,689906,5930493,3605120,271068,7052847,1894850,3907891,244207,21690448,1448632,5841513,190569,36896551,277656,1423749,470561,31036670,622914,507428,9493552,4357357,746178,12600799,1102885,1514364,2430754,7142634,5093368,6256191,1254156,864819,17048525,9668655,896264,4902151,60114615,4106411,79463,4660726,56892,2913347,3512626,23913090,3750780,11343923,14902271,2303344,5409338,10186452,4619549,5877725
1974,16149018,6761623,3187413,714701,6040045,3646428,270228,7247284,1924386,3999918,250107,22282127,1492055,6121295,205180,37708144,265762,1463986,484747,31861353,634739,523250,9749098,4424030,757668,13077341,1130634,1556288,2536895,7345773,5235074,6368346,1291857,878042,17413149,9906963,922900,5040795,61677167,4231579,81148,4797188,57937,2974105,3632986,24552540,3844094,11732957,15388933,2356620,5530978,10453029,4778716,6085078
1975,16607706,7023994,3265167,741346,6154554,3700879,270240,7451057,1958367,4088568,257285,22903587,1536658,6412409,224177,38549133,255808,1505438,499759,32566855,647538,539985,9985946,4491248,765985,13575898,1160795,1600454,2645136,7556032,5384798,6482282,1330594,892000,17796171,10165216,947925,5184940,63374289,4364709,83134,4929846,59292,3037158,3880285,25195184,3941613,12144128,15885228,2410451,5656912,10737403,4943279,6293875
1976,17085799,7279630,3347169,769982,6274032,3770870,271345,7664398,1997017,4173131,265958,23560470,1582361,6713949,248556,39422731,247969,1547978,515602,33128151,661398,557810,10199164,4559239,770415,14096258,1193517,1645833,2754698,7773452,5545653,6596721,1370364,906507,18198836,10443954,971117,5335083,65221379,4506109,85475,5057375,60504,3102595,4278974,25836890,4041792,12578398,16390161,2464424,5786482,11042975,5112823,6502566
