country,pop2022,gniLatest,growthRate,area
Nigeria,218541212,2000,0.0241,923768
Ethiopia,123379924,890,0.0257,1104300
Egypt,110990103,3000,0.0158,1002450
Democratic Republic of the Congo,99010212,550,0.0325,2344858
Tanzania,65497748,1080,0.03,945087
South Africa,59893885,5410,0.0084,1221037
Kenya,54027487,1760,0.0193,580367
Uganda,47249585,800,0.0304,241550
Sudan,46874204,650,0.0267,1886068
Algeria,44903225,3550,0.0164,2381741
Morocco,37457971,2980,0.0103,446550
Angola,35588987,2230,0.0314,1246700
Ghana,33475870,2230,0.0196,238533
Mozambique,32969518,460,0.0278,801590
Madagascar,29611714,480,0.0241,587041
Ivory Coast,28160542,2280,0.0248,322463
Cameroon,27914536,1500,0.0263,475442
Niger,26207977,540,0.0378,1267000
Burkina Faso,22673762,790,0.0259,272967
Mali,22593590,830,0.0314,1240192
Malawi,20405317,580,0.0259,118484
Zambia,20017675,1190,0.028,752612
Chad,17723315,660,0.0316,1284000
Somalia,17597511,310,0.0312,637657
Senegal,17316449,1430,0.0261,196722
Zimbabwe,16320537,1090,0.0204,390757
Guinea,13859341,1020,0.0242,245857
Rwanda,13776698,780,0.0234,26338
Benin,13352864,1280,0.0274,112622
Burundi,12889576,270,0.027,27834
Tunisia,12356117,3100,0.0076,163610
South Sudan,10913164,1090,0.0153,619745
Togo,8848699,920,0.0236,56785
Sierra Leone,8605718,490,0.022,71740
Libya,6812341,4850,0.0114,1759540
Republic of Congo,5970424,1830,0.0231,342000
Central African Republic,5579144,510,0.0223,622984
Liberia,5302681,530,0.021,111369
Mauritania,4736139,1640,0.0263,1030700
Eritrea,3684032,510,0.0176,117600
Gambia,2705992,750,0.025,10689
Botswana,2630296,6640,0.0162,582000
Namibia,2567012,4520,0.0146,825615
Gabon,2388992,6970,0.0204,267668
Lesotho,2305825,1100,0.0107,30355
Guinea-Bissau,2105566,760,0.0218,36125
Equatorial Guinea,1674908,5810,0.0247,28051
Mauritius,1299469,10230,0.0004,2040
Eswatini,1201670,3580,0.0079,17364
Djibouti,1120849,3320,0.0138,23200
Comoros,836774,1450,0.0184,1862
Cape Verde,593149,,0.0089,4033
Sao Tome and Principe,227380,2070,0.0192,964
Seychelles,107118,12720,0.0061,452
