Date,SPX,SPX Returns,UMCSI,UMCSI_Change
28/02/1978,87.04,-0.02,84.3,0.6
31/03/1978,89.21,0.02,78.8,-5.5
30/04/1978,96.83,0.09,81.6,2.8
31/05/1978,97.24,0,82.9,1.3
30/06/1978,95.53,-0.02,80,-2.9
31/07/1978,100.68,0.05,82.4,2.4
31/08/1978,103.29,0.03,78.4,-4
30/09/1978,102.54,-0.01,80.4,2
31/10/1978,93.15,-0.09,79.3,-1.1
30/11/1978,94.7,0.02,75,-4.3
31/12/1978,96.11,0.01,66.1,-8.9
31/01/1979,99.93,0.04,72.1,6
28/02/1979,96.28,-0.04,73.9,1.8
31/03/1979,101.59,0.06,68.4,-5.5
30/04/1979,101.76,0,66,-2.4
31/05/1979,99.08,-0.03,68.1,2.1
30/06/1979,102.91,0.04,65.8,-2.3
31/07/1979,103.81,0.01,60.4,-5.4
31/08/1979,109.32,0.05,64.5,4.1
30/09/1979,109.32,0,66.7,2.2
31/10/1979,101.82,-0.07,62.1,-4.6
30/11/1979,106.16,0.04,63.3,1.2
31/12/1979,107.94,0.02,61,-2.3
31/01/1980,114.16,0.06,67,6
29/02/1980,113.66,0,66.9,-0.1
31/03/1980,102.09,-0.1,56.5,-10.4
30/04/1980,106.29,0.04,52.7,-3.8
31/05/1980,111.24,0.05,51.7,-1
30/06/1980,114.24,0.03,58.7,7
31/07/1980,121.67,0.07,62.3,3.6
31/08/1980,122.38,0.01,67.3,5
30/09/1980,125.46,0.03,73.7,6.4
31/10/1980,127.47,0.02,75,1.3
30/11/1980,140.52,0.1,76.7,1.7
31/12/1980,135.76,-0.03,64.5,-12.2
31/01/1981,129.55,-0.05,71.4,6.9
28/02/1981,131.27,0.01,66.9,-4.5
31/03/1981,136,0.04,66.5,-0.4
30/04/1981,132.81,-0.02,72.4,5.9
31/05/1981,132.59,0,76.3,3.9
30/06/1981,131.21,-0.01,73.1,-3.2
31/07/1981,130.92,0,74.1,1
31/08/1981,122.79,-0.06,77.2,3.1
30/09/1981,116.18,-0.05,73.1,-4.1
31/10/1981,121.89,0.05,70.3,-2.8
30/11/1981,126.35,0.04,62.5,-7.8
31/12/1981,122.55,-0.03,64.3,1.8
31/01/1982,120.4,-0.02,71,6.7
28/02/1982,113.11,-0.06,66.5,-4.5
31/03/1982,111.96,-0.01,62,-4.5
30/04/1982,116.44,0.04,65.5,3.5
31/05/1982,111.88,-0.04,67.5,2
30/06/1982,109.61,-0.02,65.7,-1.8
31/07/1982,107.09,-0.02,65.4,-0.3
31/08/1982,119.51,0.12,65.4,0
30/09/1982,120.42,0.01,69.3,3.9
31/10/1982,133.72,0.11,73.4,4.1
30/11/1982,138.53,0.04,72.1,-1.3
31/12/1982,140.64,0.02,71.9,-0.2
31/01/1983,145.3,0.03,70.4,-1.5
28/02/1983,148.06,0.02,74.6,4.2
31/03/1983,152.96,0.03,80.8,6.2
30/04/1983,164.43,0.07,89.1,8.3
31/05/1983,162.39,-0.01,93.3,4.2
30/06/1983,167.64,0.03,92.2,-1.1
31/07/1983,162.56,-0.03,92.8,0.6
31/08/1983,164.4,0.01,90.9,-1.9
30/09/1983,166.07,0.01,89.9,-1
31/10/1983,163.55,-0.02,89.3,-0.6
30/11/1983,166.4,0.02,91.1,1.8
31/12/1983,164.93,-0.01,94.2,3.1
31/01/1984,163.41,-0.01,100.1,5.9
29/02/1984,157.06,-0.04,97.4,-2.7
31/03/1984,159.18,0.01,101,3.6
30/04/1984,160.05,0.01,96.1,-4.9
31/05/1984,150.55,-0.06,98.1,2
30/06/1984,153.18,0.02,95.5,-2.6
31/07/1984,150.66,-0.02,96.6,1.1
31/08/1984,166.68,0.11,99.1,2.5
30/09/1984,166.1,0,100.9,1.8
31/10/1984,166.09,0,96.3,-4.6
30/11/1984,163.58,-0.02,95.7,-0.6
31/12/1984,167.24,0.02,92.9,-2.8
31/01/1985,179.63,0.07,96,3.1
28/02/1985,181.18,0.01,93.7,-2.3
31/03/1985,180.66,0,93.7,0
30/04/1985,179.83,0,94.6,0.9
31/05/1985,189.55,0.05,91.8,-2.8
30/06/1985,191.85,0.01,96.5,4.7
31/07/1985,190.92,0,94,-2.5
31/08/1985,188.63,-0.01,92.4,-1.6
30/09/1985,182.08,-0.03,92.1,-0.3
31/10/1985,189.82,0.04,88.4,-3.7
30/11/1985,202.17,0.07,90.9,2.5
31/12/1985,211.28,0.05,93.9,3
31/01/1986,211.78,0,95.6,1.7
28/02/1986,226.92,0.07,95.9,0.3
31/03/1986,238.9,0.05,95.1,-0.8
30/04/1986,235.52,-0.01,96.2,1.1
31/05/1986,247.35,0.05,94.8,-1.4
30/06/1986,250.84,0.01,99.3,4.5
31/07/1986,236.12,-0.06,97.7,-1.6
31/08/1986,252.93,0.07,94.9,-2.8
30/09/1986,231.32,-0.09,91.9,-3
31/10/1986,243.98,0.05,95.6,3.7
30/11/1986,249.22,0.02,91.4,-4.2
31/12/1986,242.17,-0.03,89.1,-2.3
31/01/1987,274.08,0.13,90.4,1.3
28/02/1987,284.2,0.04,90.2,-0.2
31/03/1987,291.7,0.03,90.8,0.6
30/04/1987,288.36,-0.01,92.8,2
31/05/1987,290.1,0.01,91.1,-1.7
30/06/1987,304,0.05,91.5,0.4
31/07/1987,318.66,0.05,93.7,2.2
31/08/1987,329.8,0.03,94.4,0.7
30/09/1987,321.83,-0.02,93.6,-0.8
31/10/1987,251.79,-0.22,89.3,-4.3
30/11/1987,230.3,-0.09,83.1,-6.2
31/12/1987,247.08,0.07,86.8,3.7
31/01/1988,257.07,0.04,90.8,4
29/02/1988,267.82,0.04,91.6,0.8
31/03/1988,258.89,-0.03,94.6,3
30/04/1988,261.33,0.01,91.2,-3.4
31/05/1988,262.16,0,94.8,3.6
30/06/1988,273.5,0.04,94.7,-0.1
31/07/1988,272.02,-0.01,93.4,-1.3
31/08/1988,261.52,-0.04,97.4,4
30/09/1988,271.91,0.04,97.3,-0.1
31/10/1988,278.97,0.03,94.1,-3.2
30/11/1988,273.7,-0.02,93,-1.1
31/12/1988,277.72,0.01,91.9,-1.1
31/01/1989,297.47,0.07,97.9,6
28/02/1989,288.86,-0.03,95.4,-2.5
31/03/1989,294.87,0.02,94.3,-1.1
30/04/1989,309.64,0.05,91.5,-2.8
31/05/1989,320.52,0.04,90.7,-0.8
30/06/1989,317.98,-0.01,90.6,-0.1
31/07/1989,346.08,0.09,92,1.4
31/08/1989,351.45,0.02,89.6,-2.4
30/09/1989,349.15,-0.01,95.8,6.2
31/10/1989,340.36,-0.03,93.9,-1.9
30/11/1989,345.99,0.02,90.9,-3
31/12/1989,353.4,0.02,90.5,-0.4
31/01/1990,329.08,-0.07,93,2.5
28/02/1990,331.89,0.01,89.5,-3.5
31/03/1990,339.94,0.02,91.3,1.8
30/04/1990,330.8,-0.03,93.9,2.6
31/05/1990,361.23,0.09,90.6,-3.3
30/06/1990,358.02,-0.01,88.3,-2.3
31/07/1990,356.15,-0.01,88.2,-0.1
31/08/1990,322.56,-0.09,76.4,-11.8
30/09/1990,306.05,-0.05,72.8,-3.6
31/10/1990,304,-0.01,63.9,-8.9
30/11/1990,322.22,0.06,66,2.1
31/12/1990,330.22,0.02,65.5,-0.5
31/01/1991,343.93,0.04,66.8,1.3
28/02/1991,367.07,0.07,70.4,3.6
31/03/1991,375.22,0.02,87.7,17.3
