LOCATION,TIME,Value,INDICATOR,SUBJECT,MEASURE,FREQUENCY,
USA,1956,1.525054,CPI,TOT,AGRWTH,A,
USA,1957,3.341508,CPI,TOT,AGRWTH,A,
USA,1958,2.729161,CPI,TOT,AGRWTH,A,
USA,1959,1.010684,CPI,TOT,AGRWTH,A,
USA,1960,1.457976,CPI,TOT,AGRWTH,A,
USA,1961,1.070724,CPI,TOT,AGRWTH,A,
USA,1962,1.198773,CPI,TOT,AGRWTH,A,
USA,1963,1.239669,CPI,TOT,AGRWTH,A,
USA,1964,1.278912,CPI,TOT,AGRWTH,A,
USA,1965,1.585169,CPI,TOT,AGRWTH,A,
USA,1966,3.015075,CPI,TOT,AGRWTH,A,
USA,1967,2.772786,CPI,TOT,AGRWTH,A,
USA,1968,4.271796,CPI,TOT,AGRWTH,A,
USA,1969,5.462386,CPI,TOT,AGRWTH,A,
USA,1970,5.838255,CPI,TOT,AGRWTH,A,
USA,1971,4.292767,CPI,TOT,AGRWTH,A,
USA,1972,3.272278,CPI,TOT,AGRWTH,A,
USA,1973,6.17776,CPI,TOT,AGRWTH,A,
USA,1974,11.0548,CPI,TOT,AGRWTH,A,
USA,1975,9.143147,CPI,TOT,AGRWTH,A,
USA,1976,5.744812,CPI,TOT,AGRWTH,A,
USA,1977,6.501684,CPI,TOT,AGRWTH,A,
USA,1978,7.630964,CPI,TOT,AGRWTH,A,
USA,1979,11.25447,CPI,TOT,AGRWTH,A,
USA,1980,13.5492,CPI,TOT,AGRWTH,A,
USA,1981,10.33471,CPI,TOT,AGRWTH,A,
USA,1982,6.131427,CPI,TOT,AGRWTH,A,
USA,1983,3.212435,CPI,TOT,AGRWTH,A,
USA,1984,4.300536,CPI,TOT,AGRWTH,A,
USA,1985,3.545644,CPI,TOT,AGRWTH,A,
USA,1986,1.898048,CPI,TOT,AGRWTH,A,
USA,1987,3.664563,CPI,TOT,AGRWTH,A,
USA,1988,4.077741,CPI,TOT,AGRWTH,A,
USA,1989,4.827003,CPI,TOT,AGRWTH,A,
USA,1990,5.397956,CPI,TOT,AGRWTH,A,
USA,1991,4.234964,CPI,TOT,AGRWTH,A,
USA,1992,3.02882,CPI,TOT,AGRWTH,A,
USA,1993,2.951657,CPI,TOT,AGRWTH,A,
USA,1994,2.607442,CPI,TOT,AGRWTH,A,
USA,1995,2.80542,CPI,TOT,AGRWTH,A,
USA,1996,2.931204,CPI,TOT,AGRWTH,A,
USA,1997,2.33769,CPI,TOT,AGRWTH,A,
USA,1998,1.552279,CPI,TOT,AGRWTH,A,
USA,1999,2.188027,CPI,TOT,AGRWTH,A,
USA,2000,3.376857,CPI,TOT,AGRWTH,A,
