LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,CPI,TOT,AGRWTH,A,1950,8.695652,
AUS,CPI,TOT,AGRWTH,A,1951,19.42857,
AUS,CPI,TOT,AGRWTH,A,1952,17.22488,
AUS,CPI,TOT,AGRWTH,A,1953,4.489796,
AUS,CPI,TOT,AGRWTH,A,1954,1.5625,
AUS,CPI,TOT,AGRWTH,A,1955,1.538462,
AUS,CPI,TOT,AGRWTH,A,1956,5.681818,
AUS,CPI,TOT,AGRWTH,A,1957,2.867383,
AUS,CPI,TOT,AGRWTH,A,1958,0.6968641,
AUS,CPI,TOT,AGRWTH,A,1959,2.076125,
AUS,CPI,TOT,AGRWTH,A,1960,3.728814,
AUS,CPI,TOT,AGRWTH,A,1961,2.287582,
AUS,CPI,TOT,AGRWTH,A,1962,-0.3194888,
AUS,CPI,TOT,AGRWTH,A,1963,0.6410257,
AUS,CPI,TOT,AGRWTH,A,1964,2.866242,
AUS,CPI,TOT,AGRWTH,A,1965,3.405573,
AUS,CPI,TOT,AGRWTH,A,1966,3.293413,
AUS,CPI,TOT,AGRWTH,A,1967,3.478261,
AUS,CPI,TOT,AGRWTH,A,1968,2.521008,
AUS,CPI,TOT,AGRWTH,A,1969,3.278688,
AUS,CPI,TOT,AGRWTH,A,1970,3.439153,
AUS,CPI,TOT,AGRWTH,A,1971,6.138107,
AUS,CPI,TOT,AGRWTH,A,1972,6.024096,
AUS,CPI,TOT,AGRWTH,A,1973,9.090909,
AUS,CPI,TOT,AGRWTH,A,1974,15.41667,
AUS,CPI,TOT,AGRWTH,A,1975,15.16245,
AUS,CPI,TOT,AGRWTH,A,1976,13.32288,
AUS,CPI,TOT,AGRWTH,A,1977,12.30982,
AUS,CPI,TOT,AGRWTH,A,1978,8.004926,
AUS,CPI,TOT,AGRWTH,A,1979,9.122006,
AUS,CPI,TOT,AGRWTH,A,1980,10.13584,
AUS,CPI,TOT,AGRWTH,A,1981,9.487666,
AUS,CPI,TOT,AGRWTH,A,1982,11.35182,
AUS,CPI,TOT,AGRWTH,A,1983,10.03891,
AUS,CPI,TOT,AGRWTH,A,1984,3.960396,
AUS,CPI,TOT,AGRWTH,A,1985,6.734694,
AUS,CPI,TOT,AGRWTH,A,1986,9.05035,
AUS,CPI,TOT,AGRWTH,A,1987,8.533022,
AUS,CPI,TOT,AGRWTH,A,1988,7.21594,
AUS,CPI,TOT,AGRWTH,A,1989,7.533903,
AUS,CPI,TOT,AGRWTH,A,1990,7.333022,
AUS,CPI,TOT,AGRWTH,A,1991,3.176675,
AUS,CPI,TOT,AGRWTH,A,1992,1.012231,
AUS,CPI,TOT,AGRWTH,A,1993,1.753653,
AUS,CPI,TOT,AGRWTH,A,1994,1.969635,
AUS,CPI,TOT,AGRWTH,A,1995,4.627767,
AUS,CPI,TOT,AGRWTH,A,1996,2.615385,
AUS,CPI,TOT,AGRWTH,A,1997,0.2248875,
AUS,CPI,TOT,AGRWTH,A,1998,0.8601346,
AUS,CPI,TOT,AGRWTH,A,1999,1.483129,
AUS,CPI,TOT,AGRWTH,A,2000,4.457435,
AUS,CPI,TOT,AGRWTH,A,2001,4.407135,
AUS,CPI,TOT,AGRWTH,A,2002,2.981575,
AUS,CPI,TOT,AGRWTH,A,2003,2.732596,
AUS,CPI,TOT,AGRWTH,A,2004,2.343255,
AUS,CPI,TOT,AGRWTH,A,2005,2.691832,
AUS,CPI,TOT,AGRWTH,A,2006,3.555288,
AUS,CPI,TOT,AGRWTH,A,2007,2.327611,
AUS,CPI,TOT,AGRWTH,A,2008,4.350298,
AUS,CPI,TOT,AGRWTH,A,2009,1.771117,
AUS,CPI,TOT,AGRWTH,A,2010,2.91834,
AUS,CPI,TOT,AGRWTH,A,2011,3.30385,
AUS,CPI,TOT,AGRWTH,A,2012,1.76278,
AUS,CPI,TOT,AGRWTH,A,2013,2.449889,
AUS,CPI,TOT,AGRWTH,A,2014,2.487923,
AUS,CPI,TOT,AGRWTH,A,2015,1.508367,
AUS,CPI,TOT,AGRWTH,A,2016,1.276991,
AUS,CPI,TOT,AGRWTH,A,2017,1.948647,
AUS,CPI,TOT,AGRWTH,A,2018,1.911401,
AUS,CPI,TOT,AGRWTH,A,2019,1.610768,
AUS,CPI,TOT,AGRWTH,A,2020,0.8469055,
AUS,CPI,TOT,AGRWTH,A,2021,2.86391,
AUT,CPI,TOT,AGRWTH,A,1959,1.075,
AUT,CPI,TOT,AGRWTH,A,1960,1.94575,
AUT,CPI,TOT,AGRWTH,A,1961,3.542256,
AUT,CPI,TOT,AGRWTH,A,1962,4.381785,
AUT,CPI,TOT,AGRWTH,A,1963,2.70877,
AUT,CPI,TOT,AGRWTH,A,1964,3.868571,
AUT,CPI,TOT,AGRWTH,A,1965,4.930911,
AUT,CPI,TOT,AGRWTH,A,1966,2.054821,
AUT,CPI,TOT,AGRWTH,A,1967,3.974669,
AUT,CPI,TOT,AGRWTH,A,1968,2.764866,
AUT,CPI,TOT,AGRWTH,A,1969,3.080402,
AUT,CPI,TOT,AGRWTH,A,1970,4.372826,
AUT,CPI,TOT,AGRWTH,A,1971,4.704262,
AUT,CPI,TOT,AGRWTH,A,1972,6.355141,
AUT,CPI,TOT,AGRWTH,A,1973,7.531081,
AUT,CPI,TOT,AGRWTH,A,1974,9.521791,
AUT,CPI,TOT,AGRWTH,A,1975,8.445255,
AUT,CPI,TOT,AGRWTH,A,1976,7.318689,
AUT,CPI,TOT,AGRWTH,A,1977,5.49461,
AUT,CPI,TOT,AGRWTH,A,1978,3.574322,
AUT,CPI,TOT,AGRWTH,A,1979,3.707406,
AUT,CPI,TOT,AGRWTH,A,1980,6.328318,
AUT,CPI,TOT,AGRWTH,A,1981,6.803043,
AUT,CPI,TOT,AGRWTH,A,1982,5.436026,
AUT,CPI,TOT,AGRWTH,A,1983,3.339167,
AUT,CPI,TOT,AGRWTH,A,1984,5.663189,
AUT,CPI,TOT,AGRWTH,A,1985,3.189511,
AUT,CPI,TOT,AGRWTH,A,1986,1.705446,
AUT,CPI,TOT,AGRWTH,A,1987,1.401955,
AUT,CPI,TOT,AGRWTH,A,1988,1.91572,
AUT,CPI,TOT,AGRWTH,A,1989,2.568347,
AUT,CPI,TOT,AGRWTH,A,1990,3.261872,
AUT,CPI,TOT,AGRWTH,A,1991,3.337426,
