,UK average house price
Jan-05,150633
Feb-05,150488
Mar-05,151723
Apr-05,153880
May-05,155533
Jun-05,156767
Jul-05,158786
Aug-05,159431
Sep-05,159183
Oct-05,158865
Nov-05,159337
Dec-05,160209
Jan-06,159970
Feb-06,160231
Mar-06,161531
Apr-06,165042
May-06,166606
Jun-06,168184
Jul-06,170604
Aug-06,172037
Sep-06,172738
Oct-06,173750
Nov-06,174644
Dec-06,176819
Jan-07,176758
Feb-07,177261
Mar-07,178636
Apr-07,182243
May-07,184330
Jun-07,186348
Jul-07,188691
Aug-07,189786
Sep-07,190032
Oct-07,189589
Nov-07,189489
Dec-07,189193
Jan-08,185782
Feb-08,184185
Mar-08,182845
Apr-08,183148
May-08,184267
Jun-08,181831
Jul-08,179845
Aug-08,176092
Sep-08,171660
Oct-08,168177
Nov-08,163447
Dec-08,160954
Jan-09,157234
Feb-09,155417
Mar-09,154452
Apr-09,155852
May-09,158004
Jun-09,159561
Jul-09,162423
Aug-09,164025
Sep-09,165314
Oct-09,166425
Nov-09,166986
Dec-09,168082
Jan-10,167469
Feb-10,167888
Mar-10,167878
Apr-10,170028
May-10,170846
Jun-10,171689
Jul-10,173427
Aug-10,173417
Sep-10,172972
Oct-10,171045
Nov-10,169013
Dec-10,168703
Jan-11,167300
Feb-11,166415
Mar-11,165649
Apr-11,168218
May-11,167470
Jun-11,167753
Jul-11,169866
Aug-11,169968
Sep-11,169544
Oct-11,167673
Nov-11,167757
Dec-11,167048
Jan-12,165908
Feb-12,165457
Mar-12,165947
Apr-12,167854
May-12,168395
Jun-12,170049
Jul-12,170701
Aug-12,170902
Sep-12,170295
Oct-12,169090
Nov-12,169227
Dec-12,168843
Jan-13,167716
Feb-13,167682
Mar-13,168681
Apr-13,170335
May-13,171234
Jun-13,172655
Jul-13,174592
Aug-13,175982
Sep-13,176098
Oct-13,175378
Nov-13,176352
Dec-13,177971
Jan-14,178182
Feb-14,178921
Mar-14,179537
Apr-14,183532
May-14,185476
Jun-14,187077
Jul-14,189709
Aug-14,191932
Sep-14,192138
Oct-14,191855
Nov-14,191209
Dec-14,191669
Jan-15,190665
Feb-15,190827
Mar-15,191537
Apr-15,193225
May-15,195313
Jun-15,196802
Jul-15,200142
Aug-15,201973
Sep-15,202389
Oct-15,202664
Nov-15,204223
Dec-15,204920
Jan-16,205464
Feb-16,205555
Mar-16,207667
Apr-16,208443
May-16,210872
Jun-16,212887
Jul-16,215127
Aug-16,215145
Sep-16,214816
Oct-16,214107
Nov-16,215113
Dec-16,215500
Jan-17,215243
Feb-17,215697
Mar-17,215236
Apr-17,218642
May-17,219954
Jun-17,221833
Jul-17,224719
Aug-17,225738
Sep-17,224895
Oct-17,225092
Nov-17,224453
Dec-17,225330
Jan-18,224544
Feb-18,225131
Mar-18,223772
Apr-18,225910
May-18,226834
Jun-18,228355
Jul-18,231187
Aug-18,231898
Sep-18,231454
Oct-18,231211
Nov-18,230224
Dec-18,229729
Jan-19,228314
Feb-19,227738
Mar-19,227104
Apr-19,228749
May-19,229061
Jun-19,230049
Jul-19,232618
Aug-19,233366
Sep-19,233536
Oct-19,232919
Nov-19,232096
Dec-19,231792
Jan-20,231940
Feb-20,230609
Mar-20,232684
Apr-20,230318
May-20,231508
Jun-20,234703
Jul-20,236687
Aug-20,238998
Sep-20,241541
Oct-20,243575
Nov-20,246065
Dec-20,247983
Jan-21,249690
Feb-21,249586
Mar-21,253506
Apr-21,250210
May-21,251285
Jun-21,265676
Jul-21,252960
Aug-21,260429
Sep-21,269003
Oct-21,263680
Nov-21,268195
Dec-21,268809
Jan-22,274073
Feb-22,274365
Mar-22,275753
Apr-22,279228
May-22,282433
Jun-22,285691
Jul-22,291378
Aug-22,294598
Sep-22,294559
