Year,RPI:Percentage change over 12 months - Mortgage interest payments
1988,11
1989,46.9
1990,28.4
1991,-5.2
1992,-9.1
1993,-20.8
1994,4.7
1995,15.8
1996,-8.1
1997,12.5
1998,20.9
1999,-13.4
2000,23.8
2001,-5.2
2002,-11.9
2003,5.5
2004,22.5
2005,15.3
2006,8.1
2007,23.5
2008,-0.3
2009,-42.4
2010,0.5
2011,3.1
2012,2.3
2013,2.8
2014,0
2015,-0.4
2016,-3.1
2017,-4.4
2018,3.6
2019,3.1
2020,-5.6
2021,-2.3
1988 Q1,-3.8
1988 Q2,-1.3
1988 Q3,13.1
1988 Q4,36.4
1989 Q1,54.8
1989 Q2,59.1
1989 Q3,46.5
1989 Q4,32.6
1990 Q1,30.8
1990 Q2,32.9
1990 Q3,31.7
1990 Q4,19.6
1991 Q1,11
1991 Q2,-2.9
1991 Q3,-12.4
1991 Q4,-14.5
1992 Q1,-14.2
1992 Q2,-10.6
1992 Q3,-4.7
1992 Q4,-6
1993 Q1,-21.8
1993 Q2,-22.7
1993 Q3,-21.3
1993 Q4,-16.9
1994 Q1,-3.3
1994 Q2,5.9
1994 Q3,5.7
1994 Q4,10.7
1995 Q1,17.3
1995 Q2,19.2
1995 Q3,19.1
1995 Q4,8
1996 Q1,0.6
1996 Q2,-10.3
1996 Q3,-12.6
1996 Q4,-9.6
1997 Q1,-1.1
1997 Q2,5.9
1997 Q3,19.9
1997 Q4,26.7
1998 Q1,24.2
1998 Q2,28.7
1998 Q3,20.2
1998 Q4,12
1999 Q1,-5.4
1999 Q2,-15.6
1999 Q3,-18.6
1999 Q4,-13.1
2000 Q1,7.6
2000 Q2,29.7
2000 Q3,31.2
2000 Q4,27.3
2001 Q1,17.5
2001 Q2,-5.9
2001 Q3,-10.4
2001 Q4,-18.8
2002 Q1,-22.5
2002 Q2,-14.1
2002 Q3,-9.4
2002 Q4,0.6
2003 Q1,7.5
2003 Q2,6.2
2003 Q3,3.8
2003 Q4,4.5
2004 Q1,10.2
2004 Q2,17.2
2004 Q3,30
2004 Q4,32.2
2005 Q1,26.7
2005 Q2,21.1
2005 Q3,10.5
2005 Q4,5.6
2006 Q1,5.3
2006 Q2,5.1
2006 Q3,7.6
2006 Q4,14.6
2007 Q1,20.6
2007 Q2,23.4
2007 Q3,27.1
2007 Q4,22.9
2008 Q1,11.7
2008 Q2,4.2
2008 Q3,-1.7
2008 Q4,-13.5
2009 Q1,-38.9
2009 Q2,-45.8
2009 Q3,-45.5
2009 Q4,-39.1
2010 Q1,-10.9
2010 Q2,4.6
2010 Q3,5.2
2010 Q4,4.8
2011 Q1,4.6
2011 Q2,3.9
2011 Q3,2.4
2011 Q4,1.4
2012 Q1,0.8
2012 Q2,0.9
2012 Q3,2.8
2012 Q4,4.8
2013 Q1,4.4
2013 Q2,4
2013 Q3,2.5
2013 Q4,0.5
2014 Q1,0.4
2014 Q2,-0.3
2014 Q3,-0.2
2014 Q4,0
2015 Q1,0.3
2015 Q2,0.2
2015 Q3,-0.9
2015 Q4,-1.4
2016 Q1,-1.7
2016 Q2,-1.8
2016 Q3,-3.2
