Date,SPX,SPX Returns,NFP,NFP Change
28/02/1978,87.04,-0.02,84948,354
31/03/1978,89.21,0.02,85460,512
30/04/1978,96.83,0.09,86162,702
31/05/1978,97.24,0,86509,347
30/06/1978,95.53,-0.02,86950,441
31/07/1978,100.68,0.05,87204,254
31/08/1978,103.29,0.03,87483,279
30/09/1978,102.54,-0.01,87621,138
31/10/1978,93.15,-0.09,87956,335
30/11/1978,94.7,0.02,88391,435
31/12/1978,96.11,0.01,88671,280
31/01/1979,99.93,0.04,88808,137
28/02/1979,96.28,-0.04,89055,247
31/03/1979,101.59,0.06,89479,424
30/04/1979,101.76,0,89417,-62
31/05/1979,99.08,-0.03,89789,372
30/06/1979,102.91,0.04,90108,319
31/07/1979,103.81,0.01,90217,109
31/08/1979,109.32,0.05,90300,83
30/09/1979,109.32,0,90327,27
31/10/1979,101.82,-0.07,90481,154
30/11/1979,106.16,0.04,90573,92
31/12/1979,107.94,0.02,90672,99
31/01/1980,114.16,0.06,90800,128
29/02/1980,113.66,0,90883,83
31/03/1980,102.09,-0.1,90994,111
30/04/1980,106.29,0.04,90849,-145
31/05/1980,111.24,0.05,90420,-429
30/06/1980,114.24,0.03,90101,-319
31/07/1980,121.67,0.07,89840,-261
31/08/1980,122.38,0.01,90099,259
30/09/1980,125.46,0.03,90213,114
31/10/1980,127.47,0.02,90490,277
30/11/1980,140.52,0.1,90747,257
31/12/1980,135.76,-0.03,90943,196
31/01/1981,129.55,-0.05,91033,90
28/02/1981,131.27,0.01,91105,72
31/03/1981,136,0.04,91210,105
30/04/1981,132.81,-0.02,91283,73
31/05/1981,132.59,0,91296,13
30/06/1981,131.21,-0.01,91490,194
31/07/1981,130.92,0,91601,111
31/08/1981,122.79,-0.06,91565,-36
30/09/1981,116.18,-0.05,91477,-88
31/10/1981,121.89,0.05,91380,-97
30/11/1981,126.35,0.04,91171,-209
31/12/1981,122.55,-0.03,90895,-276
31/01/1982,120.4,-0.02,90565,-330
28/02/1982,113.11,-0.06,90563,-2
31/03/1982,111.96,-0.01,90434,-129
30/04/1982,116.44,0.04,90150,-284
31/05/1982,111.88,-0.04,90107,-43
30/06/1982,109.61,-0.02,89865,-242
31/07/1982,107.09,-0.02,89521,-344
31/08/1982,119.51,0.12,89363,-158
30/09/1982,120.42,0.01,89183,-180
31/10/1982,133.72,0.11,88907,-276
30/11/1982,138.53,0.04,88786,-121
31/12/1982,140.64,0.02,88771,-15
31/01/1983,145.3,0.03,88990,219
28/02/1983,148.06,0.02,88917,-73
31/03/1983,152.96,0.03,89090,173
30/04/1983,164.43,0.07,89364,274
31/05/1983,162.39,-0.01,89644,280
30/06/1983,167.64,0.03,90021,377
31/07/1983,162.56,-0.03,90437,416
31/08/1983,164.4,0.01,90129,-308
30/09/1983,166.07,0.01,91247,1118
31/10/1983,163.55,-0.02,91520,273
30/11/1983,166.4,0.02,91875,355
31/12/1983,164.93,-0.01,92230,355
31/01/1984,163.41,-0.01,92673,443
29/02/1984,157.06,-0.04,93157,484
31/03/1984,159.18,0.01,93429,272
30/04/1984,160.05,0.01,93792,363
31/05/1984,150.55,-0.06,94098,306
30/06/1984,153.18,0.02,94479,381
31/07/1984,150.66,-0.02,94789,310
31/08/1984,166.68,0.11,95032,243
30/09/1984,166.1,0,95344,312
31/10/1984,166.09,0,95629,285
30/11/1984,163.58,-0.02,95982,353
31/12/1984,167.24,0.02,96107,125
31/01/1985,179.63,0.07,96372,265
28/02/1985,181.18,0.01,96503,131
31/03/1985,180.66,0,96842,339
30/04/1985,179.83,0,97038,196
31/05/1985,189.55,0.05,97312,274
30/06/1985,191.85,0.01,97459,147
31/07/1985,190.92,0,97648,189
31/08/1985,188.63,-0.01,97840,192
30/09/1985,182.08,-0.03,98045,205
31/10/1985,189.82,0.04,98233,188
30/11/1985,202.17,0.07,98443,210
31/12/1985,211.28,0.05,98609,166
31/01/1986,211.78,0,98732,123
28/02/1986,226.92,0.07,98847,115
31/03/1986,238.9,0.05,98934,87
30/04/1986,235.52,-0.01,99121,187
31/05/1986,247.35,0.05,99248,127
30/06/1986,250.84,0.01,99155,-93
31/07/1986,236.12,-0.06,99473,318
31/08/1986,252.93,0.07,99588,115
30/09/1986,231.32,-0.09,99934,346
31/10/1986,243.98,0.05,100121,187
30/11/1986,249.22,0.02,100308,187
31/12/1986,242.17,-0.03,100509,201
31/01/1987,274.08,0.13,100678,169
28/02/1987,284.2,0.04,100919,241
31/03/1987,291.7,0.03,101164,245
30/04/1987,288.36,-0.01,101499,335
31/05/1987,290.1,0.01,101728,229
30/06/1987,304,0.05,101900,172
31/07/1987,318.66,0.05,102247,347
31/08/1987,329.8,0.03,102420,173
30/09/1987,321.83,-0.02,102647,227
31/10/1987,251.79,-0.22,103138,491
30/11/1987,230.3,-0.09,103372,234
31/12/1987,247.08,0.07,103661,289
31/01/1988,257.07,0.04,103753,92
29/02/1988,267.82,0.04,104214,461
31/03/1988,258.89,-0.03,104489,275
30/04/1988,261.33,0.01,104732,243
31/05/1988,262.16,0,104962,230
30/06/1988,273.5,0.04,105326,364
31/07/1988,272.02,-0.01,105550,224
31/08/1988,261.52,-0.04,105674,124
30/09/1988,271.91,0.04,106013,339
31/10/1988,278.97,0.03,106276,263
30/11/1988,273.7,-0.02,106617,341
31/12/1988,277.72,0.01,106898,281
31/01/1989,297.47,0.07,107161,263
28/02/1989,288.86,-0.03,107427,266
31/03/1989,294.87,0.02,107621,194
30/04/1989,309.64,0.05,107791,170
31/05/1989,320.52,0.04,107913,122
30/06/1989,317.98,-0.01,108027,114
31/07/1989,346.08,0.09,108069,42
31/08/1989,351.45,0.02,108120,51
30/09/1989,349.15,-0.01,108369,249
31/10/1989,340.36,-0.03,108476,107
30/11/1989,345.99,0.02,108752,276
31/12/1989,353.4,0.02,108836,84
31/01/1990,329.08,-0.07,109199,363
28/02/1990,331.89,0.01,109435,236
31/03/1990,339.94,0.02,109644,209
30/04/1990,330.8,-0.03,109686,42
31/05/1990,361.23,0.09,109839,153
30/06/1990,358.02,-0.01,109856,17
31/07/1990,356.15,-0.01,109824,-32
31/08/1990,322.56,-0.09,109616,-208
30/09/1990,306.05,-0.05,109518,-98
31/10/1990,304,-0.01,109367,-151
30/11/1990,322.22,0.06,109214,-153
31/12/1990,330.22,0.02,109166,-48
31/01/1991,343.93,0.04,109055,-111
28/02/1991,367.07,0.07,108734,-321
31/03/1991,375.22,0.02,108574,-160
30/04/1991,375.34,0,108364,-210
31/05/1991,389.83,0.04,108249,-115
30/06/1991,371.16,-0.05,108334,85
31/07/1991,387.81,0.04,108292,-42
31/08/1991,395.43,0.02,108310,18
30/09/1991,387.86,-0.02,108336,26
31/10/1991,392.45,0.01,108357,21
30/11/1991,375.22,-0.04,108296,-61
31/12/1991,417.09,0.11,108328,32
31/01/1992,408.78,-0.02,108369,41
29/02/1992,412.7,0.01,108311,-58
31/03/1992,403.69,-0.02,108365,54
30/04/1992,414.95,0.03,108519,154
31/05/1992,415.35,0,108649,130
30/06/1992,408.14,-0.02,108715,66
31/07/1992,424.21,0.04,108793,78
31/08/1992,414.03,-0.02,108925,132
30/09/1992,417.8,0.01,108959,34
31/10/1992,418.68,0,109139,180
30/11/1992,431.35,0.03,109272,133
31/12/1992,435.71,0.01,109495,223
31/01/1993,438.78,0.01,109794,299
28/02/1993,443.38,0.01,110044,250
31/03/1993,451.67,0.02,109994,-50
30/04/1993,440.19,-0.03,110296,302
31/05/1993,450.19,0.02,110568,272
30/06/1993,450.53,0,110749,181
31/07/1993,448.13,-0.01,111055,306
31/08/1993,463.56,0.03,111206,151
30/09/1993,458.93,-0.01,111448,242
31/10/1993,467.83,0.02,111733,285
30/11/1993,461.79,-0.01,111984,251
31/12/1993,466.45,0.01,112314,330
31/01/1994,481.61,0.03,112595,281
28/02/1994,467.14,-0.03,112781,186
31/03/1994,445.77,-0.05,113242,461
30/04/1994,450.91,0.01,113586,344
31/05/1994,456.5,0.01,113921,335
30/06/1994,444.27,-0.03,114238,317
31/07/1994,458.26,0.03,114610,372
31/08/1994,475.49,0.04,114896,286
30/09/1994,462.71,-0.03,115247,351
31/10/1994,472.35,0.02,115458,211
30/11/1994,453.69,-0.04,115869,411
31/12/1994,459.27,0.01,116165,296
31/01/1995,470.42,0.02,116501,336
28/02/1995,487.39,0.04,116697,196
31/03/1995,500.71,0.03,116907,210
30/04/1995,514.71,0.03,117069,162
31/05/1995,533.4,0.04,117049,-20
30/06/1995,544.75,0.02,117286,237
