Date,Values
01/12/1969,100
08/12/1969,100
15/12/1969,100
22/12/1969,100
29/12/1969,100
05/01/1970,100
12/01/1970,100
19/01/1970,100
26/01/1970,100
02/02/1970,100
09/02/1970,100
16/02/1970,100
23/02/1970,100
02/03/1970,100
09/03/1970,100
16/03/1970,100
23/03/1970,100
30/03/1970,100
06/04/1970,100
13/04/1970,100
20/04/1970,100
27/04/1970,100
04/05/1970,100
11/05/1970,100
18/05/1970,100
25/05/1970,100
01/06/1970,100
08/06/1970,100
15/06/1970,100
22/06/1970,100
29/06/1970,100
06/07/1970,100
13/07/1970,100
20/07/1970,100
27/07/1970,100
03/08/1970,100
10/08/1970,100
17/08/1970,100
24/08/1970,100
31/08/1970,100
07/09/1970,100
14/09/1970,100
21/09/1970,100
28/09/1970,100
05/10/1970,100
12/10/1970,100
19/10/1970,100
26/10/1970,100
02/11/1970,100
09/11/1970,0
16/11/1970,0
23/11/1970,0
30/11/1970,0
07/12/1970,0
14/12/1970,0
21/12/1970,0
28/12/1970,0
04/01/1971,0
11/01/1971,0
18/01/1971,0
25/01/1971,0
01/02/1971,0
08/02/1971,0
15/02/1971,0
22/02/1971,0
01/03/1971,0
08/03/1971,0
15/03/1971,0
22/03/1971,0
29/03/1971,0
05/04/1971,0
12/04/1971,0
19/04/1971,0
26/04/1971,0
03/05/1971,0
10/05/1971,0
17/05/1971,0
24/05/1971,0
31/05/1971,0
07/06/1971,0
14/06/1971,0
21/06/1971,0
28/06/1971,0
05/07/1971,0
12/07/1971,0
19/07/1971,0
26/07/1971,0
02/08/1971,0
09/08/1971,0
16/08/1971,0
23/08/1971,0
30/08/1971,0
06/09/1971,0
13/09/1971,0
20/09/1971,0
27/09/1971,0
04/10/1971,0
11/10/1971,0
18/10/1971,0
25/10/1971,0
01/11/1971,0
08/11/1971,0
15/11/1971,0
22/11/1971,0
29/11/1971,0
06/12/1971,0
13/12/1971,0
20/12/1971,0
27/12/1971,0
03/01/1972,0
10/01/1972,0
17/01/1972,0
24/01/1972,0
31/01/1972,0
07/02/1972,0
14/02/1972,0
21/02/1972,0
28/02/1972,0
06/03/1972,0
13/03/1972,0
20/03/1972,0
27/03/1972,0
03/04/1972,0
10/04/1972,0
17/04/1972,0
24/04/1972,0
01/05/1972,0
08/05/1972,0
15/05/1972,0
22/05/1972,0
29/05/1972,0
05/06/1972,0
12/06/1972,0
19/06/1972,0
26/06/1972,0
03/07/1972,0
10/07/1972,0
17/07/1972,0
24/07/1972,0
31/07/1972,0
07/08/1972,0
14/08/1972,0
21/08/1972,0
28/08/1972,0
04/09/1972,0
11/09/1972,0
18/09/1972,0
25/09/1972,0
02/10/1972,0
09/10/1972,0
16/10/1972,0
23/10/1972,0
30/10/1972,0
06/11/1972,0
13/11/1972,0
20/11/1972,0
27/11/1972,0
04/12/1972,0
11/12/1972,0
18/12/1972,0
25/12/1972,0
01/01/1973,0
08/01/1973,0
15/01/1973,0
22/01/1973,0
29/01/1973,0
05/02/1973,0
12/02/1973,0
19/02/1973,0
26/02/1973,0
05/03/1973,0
12/03/1973,0
19/03/1973,0
26/03/1973,0
02/04/1973,0
09/04/1973,0
16/04/1973,0
23/04/1973,0
30/04/1973,0
07/05/1973,0
14/05/1973,0
21/05/1973,0
28/05/1973,0
04/06/1973,0
11/06/1973,0
18/06/1973,0
25/06/1973,0
02/07/1973,0
09/07/1973,0
16/07/1973,0
23/07/1973,0
30/07/1973,0
06/08/1973,0
13/08/1973,0
20/08/1973,0
27/08/1973,0
03/09/1973,0
10/09/1973,0
17/09/1973,0
24/09/1973,0
01/10/1973,0
08/10/1973,0
15/10/1973,0
22/10/1973,0
29/10/1973,0
05/11/1973,100
12/11/1973,100
19/11/1973,100
26/11/1973,100
03/12/1973,100
10/12/1973,100
17/12/1973,100
24/12/1973,100
31/12/1973,100
07/01/1974,100
14/01/1974,100
21/01/1974,100
28/01/1974,100
04/02/1974,100
11/02/1974,100
18/02/1974,100
25/02/1974,100
04/03/1974,100
11/03/1974,100
18/03/1974,100
25/03/1974,100
01/04/1974,100
08/04/1974,100
15/04/1974,100
22/04/1974,100
29/04/1974,100
06/05/1974,100
13/05/1974,100
20/05/1974,100
27/05/1974,100
03/06/1974,100
10/06/1974,100
17/06/1974,100
24/06/1974,100
01/07/1974,100
08/07/1974,100
15/07/1974,100
22/07/1974,100
29/07/1974,100
05/08/1974,100
12/08/1974,100
19/08/1974,100
26/08/1974,100
02/09/1974,100
09/09/1974,100
16/09/1974,100
23/09/1974,100
30/09/1974,100
07/10/1974,100
14/10/1974,100
21/10/1974,100
28/10/1974,100
04/11/1974,100
11/11/1974,100
18/11/1974,100
25/11/1974,100
02/12/1974,100
09/12/1974,100
16/12/1974,100
23/12/1974,100
30/12/1974,100
06/01/1975,100
13/01/1975,100
20/01/1975,100
27/01/1975,100
03/02/1975,100
10/02/1975,100
17/02/1975,100
24/02/1975,100
03/03/1975,100
10/03/1975,100
17/03/1975,0
24/03/1975,0
31/03/1975,0
07/04/1975,0
14/04/1975,0
21/04/1975,0
28/04/1975,0
05/05/1975,0
12/05/1975,0
19/05/1975,0
26/05/1975,0
02/06/1975,0
09/06/1975,0
16/06/1975,0
23/06/1975,0
30/06/1975,0
07/07/1975,0
14/07/1975,0
21/07/1975,0
28/07/1975,0
04/08/1975,0
11/08/1975,0
18/08/1975,0
25/08/1975,0
01/09/1975,0
08/09/1975,0
15/09/1975,0
22/09/1975,0
29/09/1975,0
06/10/1975,0
13/10/1975,0
20/10/1975,0
27/10/1975,0
03/11/1975,0
10/11/1975,0
17/11/1975,0
24/11/1975,0
01/12/1975,0
08/12/1975,0
15/12/1975,0
22/12/1975,0
29/12/1975,0
05/01/1976,0
12/01/1976,0
19/01/1976,0
26/01/1976,0
02/02/1976,0
09/02/1976,0
16/02/1976,0
23/02/1976,0
01/03/1976,0
08/03/1976,0
15/03/1976,0
22/03/1976,0
29/03/1976,0
05/04/1976,0
12/04/1976,0
19/04/1976,0
