Date,SPX,SPX Returns,T10Y2Y,T10Y2Y Change
28/02/1978,87.04,-0.02,0.47,0
31/03/1978,89.21,0.02,0.45,-0.02
30/04/1978,96.83,0.09,0.27,-0.18
31/05/1978,97.24,0,0.3,0.03
30/06/1978,95.53,-0.02,0.14,-0.16
31/07/1978,100.68,0.05,0.09,-0.05
31/08/1978,103.29,0.03,-0.07,-0.16
30/09/1978,102.54,-0.01,-0.14,-0.07
31/10/1978,93.15,-0.09,-0.53,-0.39
30/11/1978,94.7,0.02,-0.69,-0.16
31/12/1978,96.11,0.01,-0.83,-0.14
31/01/1979,99.93,0.04,-0.69,0.14
28/02/1979,96.28,-0.04,-0.72,-0.03
31/03/1979,101.59,0.06,-0.61,0.11
30/04/1979,101.76,0,-0.56,0.05
31/05/1979,99.08,-0.03,-0.5,0.06
30/06/1979,102.91,0.04,-0.16,0.34
31/07/1979,103.81,0.01,-0.3,-0.14
31/08/1979,109.32,0.05,-0.6,-0.3
30/09/1979,109.32,0,-0.66,-0.06
31/10/1979,101.82,-0.07,-1.34,-0.68
30/11/1979,106.16,0.04,-0.95,0.39
31/12/1979,107.94,0.02,-0.9,0.05
31/01/1980,114.16,0.06,-0.62,0.28
29/02/1980,113.66,0,-2.01,-1.39
31/03/1980,102.09,-0.1,-1.99,0.02
30/04/1980,106.29,0.04,-0.05,1.94
31/05/1980,111.24,0.05,1,1.05
30/06/1980,114.24,0.03,1.12,0.12
31/07/1980,121.67,0.07,1.04,-0.08
31/08/1980,122.38,0.01,0.19,-0.85
30/09/1980,125.46,0.03,-0.27,-0.46
31/10/1980,127.47,0.02,-0.62,-0.35
30/11/1980,140.52,0.1,-1.41,-0.79
31/12/1980,135.76,-0.03,-0.63,0.78
31/01/1981,129.55,-0.05,-0.58,0.05
28/02/1981,131.27,0.01,-0.65,-0.07
31/03/1981,136,0.04,-0.04,0.61
30/04/1981,132.81,-0.02,-0.73,-0.69
31/05/1981,132.59,0,-0.9,-0.17
30/06/1981,131.21,-0.01,-0.8,0.1
31/07/1981,130.92,0,-1.17,-0.37
31/08/1981,122.79,-0.06,-1.32,-0.15
30/09/1981,116.18,-0.05,-0.85,0.47
31/10/1981,121.89,0.05,0.04,0.89
30/11/1981,126.35,0.04,0.77,0.73
31/12/1981,122.55,-0.03,0.35,-0.42
31/01/1982,120.4,-0.02,-0.1,-0.45
28/02/1982,113.11,-0.06,-0.41,-0.31
31/03/1982,111.96,-0.01,-0.34,0.07
30/04/1982,116.44,0.04,-0.12,0.22
31/05/1982,111.88,-0.04,0.09,0.21
30/06/1982,109.61,-0.02,-0.22,-0.31
31/07/1982,107.09,-0.02,0.51,0.73
31/08/1982,119.51,0.12,0.82,0.31
30/09/1982,120.42,0.01,0.5,-0.32
31/10/1982,133.72,0.11,0.86,0.36
30/11/1982,138.53,0.04,0.83,-0.03
31/12/1982,140.64,0.02,0.88,0.05
31/01/1983,145.3,0.03,1.22,0.34
28/02/1983,148.06,0.02,0.96,-0.26
31/03/1983,152.96,0.03,0.75,-0.21
30/04/1983,164.43,0.07,0.92,0.17
31/05/1983,162.39,-0.01,0.79,-0.13
30/06/1983,167.64,0.03,0.73,-0.06
